"","x"
"1170","ASV_1443"
"1171","ASV_1482"
"1172","ASV_1530"
"1173","ASV_1541"
"1174","ASV_1542"
"1175","ASV_1549"
"1176","ASV_1557"
"1177","ASV_1565"
"1178","ASV_1570"
"1179","ASV_1581"
"1180","ASV_1588"
"1181","ASV_1622"
"1182","ASV_1626"
"1183","ASV_1641"
"1184","ASV_1647"
"1185","ASV_1649"
"1186","ASV_1659"
"1187","ASV_1674"
"1188","ASV_1689"
"1189","ASV_1705"
"1190","ASV_1713"
"1191","ASV_1715"
"1192","ASV_1724"
"1193","ASV_1761"
"1194","ASV_1770"
"1195","ASV_1780"
"1196","ASV_1794"
"1197","ASV_1810"
"1198","ASV_1812"
"1199","ASV_1832"
"1200","ASV_1843"
"1201","ASV_1853"
"1202","ASV_1870"
"1203","ASV_1872"
"1204","ASV_1881"
"1205","ASV_1907"
"1206","ASV_1947"
"1207","ASV_1953"
"1208","ASV_1957"
"1209","ASV_1974"
"1210","ASV_1979"
"1211","ASV_1993"
"1212","ASV_2001"
"1213","ASV_2004"
"1214","ASV_2005"
"1215","ASV_2011"
"1216","ASV_2016"
"1217","ASV_2020"
"1218","ASV_2044"
"1219","ASV_2054"
"1220","ASV_2059"
"1221","ASV_2066"
"1222","ASV_2075"
"1223","ASV_2085"
"1224","ASV_2129"
"1225","ASV_2144"
"1226","ASV_2146"
"1227","ASV_2151"
"1228","ASV_2162"
"1229","ASV_2164"
"1230","ASV_2166"
"1231","ASV_2219"
"1232","ASV_2221"
"1233","ASV_2224"
"1234","ASV_2225"
"1235","ASV_2228"
"1236","ASV_2250"
"1237","ASV_2256"
"1238","ASV_2270"
"1239","ASV_2274"
"1240","ASV_2287"
"1241","ASV_2297"
"1242","ASV_2303"
"1243","ASV_2321"
"1244","ASV_2327"
"1245","ASV_2328"
"1246","ASV_2332"
"1247","ASV_2336"
"1248","ASV_2339"
"1249","ASV_2354"
"1250","ASV_2374"
"1251","ASV_2379"
"1252","ASV_2382"
"1253","ASV_2389"
"1254","ASV_2392"
"1255","ASV_2398"
"1256","ASV_2399"
