"","Site","SiteSamp","MAP.mm","MAT.C","ph","P","K","Cu","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"49","BRF-ONE-COM","BRF-ONE-COM-6",1.16934,1.21748394421391,5.57,1.08660526412683,1.67716626827689,0.181054678587231,1.44150552879121,1.31863894072218,1.11163326982876,0.385748201603292,0.0522762500819954,0.678038143611419,-2.15185120848112,0.151455193143941,-0.563547841062749,-1.27754084558,2.47,0.778151250383644,-78.8478209903067,35.603669500374
"50","CCR-ONE-NCD","CCR-ONE-NCD-4",1.17702,1.22010808804006,6.825,2.35448655343577,1.63075610062352,0.775292158544116,1.29880152096396,1.01906720190848,2.66557360512018,0.444038778440338,1.27343277447826,0,-2.02745921443862,0.749137176839291,-1.25551913845241,-0.327193380024203,2.42,1.43136376415899,-78.5124741815211,35.6652489821058
"51","CGF-MON-PRO","CGF-MON-PRO-2",1.11687,1.20411998265592,6.96,1.74054417486333,1.96286443181385,0.843669438456639,1.52392577915181,1.47327717609792,1.87339410402424,0.555667036617983,0.923890194975665,0.911766884446966,-1.33085037823519,-0.000910948199076715,-0.443078262398854,-1.50285012730587,1.87,1,-80.6538595598013,35.5535913669921
"52","CGF-MON-PRO","CGF-MON-PRO-8",1.11687,1.20411998265592,6.81,1.67272035371631,1.9994628995548,0.842300642375205,1.75209162897601,1.39085575492302,1.82876124373873,0.489264905527102,0.739532144095748,0.790320439108172,-1.58049730997695,0.0718356510183279,-0.698505377778978,-1.02972826401514,2.35,1,-80.6531516804706,35.5534780997425
"53","CRE-MXG-NCD","CRE-MXG-NCD-4",1.19221,1.24303804868629,5.305,2.43811234495909,1.63075610062352,0.38333465452123,1.86360383564152,1.1334886166115,1.57743751641963,0.233735953846727,0.845128391295595,0.427942997119255,-2.10450462000969,0.725833180120218,-1.78325569668033,-1.46047152916599,1.16,0.602059991327962,-78.0457395696451,35.3698189164033
"54","CRE-MXT-NCD","CRE-MXT-NCD-2",1.19221,1.24303804868629,5.77,2.19870530707127,1.79520900951329,0.230896878593753,1.94973230773211,1.06169051388729,1.30482298468112,0.35328111226739,0.723827382449847,0.347241443527071,-2.19791474036652,0.407464258667499,-0.8686838708234,-1.53203851643335,2.2,0.698970004336019,-78.047735625211,35.3709923860061
"55","CRE-MXT-NCD","CRE-MXT-NCD-8",1.19221,1.24303804868629,5.39,2.29771454476915,1.53924483056389,0.177306069587362,1.88249105470581,1.13369988736084,1.22548303427145,0.410224737810538,0.647041041118539,0.384564876885222,-2.19103160884862,0.501586782653959,-0.86538332982403,-1.4024795821883,1.88,0.698970004336019,-78.0440352022114,35.3697935704051
"56","LCO-MXT-COM","LCO-MXT-COM-1",1.25935,1.24303804868629,4.3,1.69361349686399,1.56210091109118,0.044354276151237,0.293968141176494,1.4104597500595,0.809668301829708,0.581694959726504,0.41849840957428,0.724084412853135,-1.35274985259035,0.0761760609190879,-1.16648229295064,-1.44215228695225,2.1,1,-77.4673343212149,35.2635236766504
"57","LCO-MXT-COM","LCO-MXT-COM-7",1.25935,1.24303804868629,4.32,1.39721558067771,1.49427057598786,0.0430346322252019,0.210853365314893,1.33912004527212,0.619788758288394,0.427924660726441,0.256039841296041,0.822183585226254,-1.38704636047737,-0.0944780514158428,-0.597953285739029,-1.48166082823593,2.17,1,-77.4681429468636,35.2629480596771
"58","LWR-BHO-NCS","LWR-BHO-NCS-5",1.17624,1.21748394421391,6.215,2.44460447281285,2.11476200378752,0.487911734803169,1.2338099789203,1.18043967567789,1.60816259031482,0.288190121652057,1.22849672472409,0.513376242649998,-1.77797467201898,0.39956488023989,-0.926578814994065,-0.78956964200654,2.53,1.07918124604762,-78.7027957581743,35.7355643592
"59","UCP-MXG-NCD","UCP-MXG-NCD-3",1.16637,1.22530928172586,4.95,2.24797326636181,1.78532983501077,0.193124598354462,0.950364854376123,1.20951501454263,1.35024801833416,0.440163150286072,0.867661939595426,0.292667303270807,-1.82326268777211,0.639175390643689,-1.59302656904161,-1.36297104090463,1.95,1.43136376415899,-77.6791525155803,35.8957334160809
"60","MHC-ONE-NCD","MHC-ONE-NCD-6",1.20784,1.1430148002541,6.665,1.82127212915503,2.43716621648075,0.506576234057938,1.54275992745194,1.29988560901524,1.32330639037513,0.276300218460752,1.28043788324721,0.459244614195541,-1.65812237007841,-0.0323328828225218,-0.499869420179643,-0.751956206923741,2.46,1.04139268515823,-82.5573526740169,35.4170704853143
"61","OTO-MON-NCD","OTO-MON-NCD-4",1.12755,1.20139712432045,5.63,1.7151075829558,1.6051510683051,0.210853365314893,0.854956345613982,1.18428573767095,1.38214574148881,0.489517565237206,0.67400123472395,0.134270567068511,-2.08261025157137,0.244183884659733,-0.66914639468549,-0.969777467257054,1.96,0.954242509439325,-78.6123373675745,36.3013831718452
"62","OTO-MXT-NCD","OTO-MXT-NCD-2",1.12755,1.20139712432045,5.43,1.94055083144545,1.72200948751336,0.128666609127543,0.575028500041668,1.17005929428577,0.935542010773082,0.216571398079899,0.613078895321556,0.269546205450293,-2.09342168516224,0.193937619564323,-0.664997689979836,-1.45169760485848,1.84,0.903089986991944,-78.6158059859806,36.3011442287838
"63","OTO-MXT-NCD","OTO-MXT-NCD-8",1.12755,1.20139712432045,5.21,1.72980094924469,1.57527033984327,0.210853365314893,0.521324917211716,1.27547589119159,0.905024486769143,0.38214093531093,0.132147861192954,0.265674678164444,-2.0720572320339,0.297483521138188,-0.67840018683728,-0.934648403238871,2.71,0.903089986991944,-78.6157849649514,36.3006769151353
"64","LCO-MXT-COM","LCO-MXT-COM-2",1.25935,1.24303804868629,4.265,1.64355879609133,1.52189697144924,0.0845954949294846,0.243704655850023,1.49286548509405,0.730487055782084,0.559646306788886,0.353463449044923,0.886446255506576,-1.36573267571488,0.317389855997576,-1.31215882734761,-1.05569209596365,2.19,1,-77.4674533438118,35.2634119296045
"65","LCO-MXT-COM","LCO-MXT-COM-8",1.25935,1.24303804868629,4.22,1.53147891704226,1.41497334797082,0.0413926851582251,0.230448921378274,1.30102999566398,0.602059991327962,0.453460330930981,0.369110065408642,0.666510272103962,-1.37347368055268,0.109032668855599,-0.936587173904598,-1.45169760485848,2.05,1,-77.4682653361184,35.262839679289
"66","LWR-BHO-NCS","LWR-BHO-NCS-6",1.17624,1.21748394421391,6.195,2.40493838691132,2.14859006491808,0.326837259270267,1.2731194313576,1.21235069928548,1.63202321470541,0.312452032494786,1.22544048560125,0.517330390789275,-1.72233310942698,0.47811533341844,-1.00082027910028,-1.40075960179403,2.38,1.07918124604762,-78.7028609283133,35.7356555706857
"67","MHC-ONE-NCD","MHC-ONE-NCD-1",1.20784,1.1430148002541,6.04,1.63008871492821,2.22444673033627,0.309984838316908,1.27922954015871,1.35936110273849,1.01772876696043,0.330008913010772,0.209442763150304,0.673786772927089,-1.83228862638049,0.0962009376644331,-0.510683939527478,-1.72833316157732,2.2,1.04139268515823,-82.5574797547466,35.4168249976603
"68","MHC-ONE-NCD","MHC-ONE-NCD-7",1.20784,1.1430148002541,6.38,1.91863254785697,2.44672880499757,0.575875408426089,1.53120705820277,1.36810876963899,1.34909144113422,0.218436308945399,0.499539719231752,0.537465919967749,-1.57016847889013,0.0436244910359345,-0.527433210537563,-1.08124620043604,2.4,1.04139268515823,-82.5573223004607,35.4170563775999
"69","OTO-MON-NCD","OTO-MON-NCD-5",1.12755,1.20139712432045,5.49,1.65748079856802,1.50200669934956,0.287839995446961,0.921708701972611,1.16658443341475,1.36317790241283,0.435662861409534,0.464424433699254,0.0227846865546709,-2.06687379282703,0.31126977837499,-0.717871853564768,-0.798699610466067,2.35,0.954242509439325,-78.6123219806476,36.3013632451723
"70","OTO-MXT-NCD","OTO-MXT-NCD-3",1.12755,1.20139712432045,5.185,1.92978049882866,1.55039071625042,0.102257593981642,0.41378917687069,1.20531936061209,0.901164065955905,0.23250465374509,0.373247118876058,0,-2.08261025157137,0.289466476094123,-0.720652394091945,-0.838208151749741,2.33,0.903089986991944,-78.6158054469798,36.3010663431757
