"","Site","SiteSamp","MAP.mm","MAT.C","ph","watercontent","P","K","Cu","Mg","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"43","UCP-MXG-NCD","UCP-MXG-NCD-4",6.36386948930598,11.9544855994979,1.56105100463678,9.5864632575568,1.58525557786603,1.54913359015905,0.385357582578923,1.13927172658774,0.498208094239425,1.97745181632693,0.744531273066494,0.502905884768339,0.706714154166972,0.196859178752383,-1.45268573732274,0.457526370148343,-0.745897324288043,-0.628905805838253,1.18072289156627,1.26631956334879,-15.2607251842454,23.3946170236484
"44","UCP-MXG-NCD","UCP-MXG-NCD-6",6.36386948930598,11.9544855994979,1.46058732612056,9.7523777870158,1.68877492514203,1.48880959937276,0.361470411360281,1.08016905148502,0.556627679397185,2.37894838249826,0.660691452419047,0.69402209262244,0.607638551155199,0.689779388458121,-1.43641666343896,0.324571726244205,-0.81930318356254,-0.0959238748645763,1.59036144578313,1.26631956334879,-15.2607472070109,23.3946933202487
"45","WBI-NRT-NCS","WBI-NRT-NCS-7",7.0937909209952,12.1515959059777,1.93972179289026,9.72575273689601,1.54229196558638,1.82563327216463,0.643448208172164,1.43696113505192,0.52729030005333,1.79312327933747,0.714084108482477,0.783761392606022,0.830774734172661,0.3582744776003,-1.58755606816016,0.442976520083503,-0.978992571194109,-0.259004187588932,1.45180722891566,0.798958690046365,-15.3436107428769,22.6590914014769
"46","CRE-MXG-NCD","CRE-MXG-NCD-3",6.5048559580969,12.1274527780594,1.61205564142195,9.46704010014575,1.60089828738248,1.58231944745269,0.530415648919983,1.11465192355275,1.03330667148945,1.9135258688449,0.760267833490772,0.58489667399511,0.651901572712916,0.443687309193156,-1.6045822510072,0.526781915490968,-1.04939342778782,-0.563014161917931,0.789156626506024,0.532639126697576,-15.332626905952,23.0518105955077
"47","CRE-MXT-NCD","CRE-MXT-NCD-1",6.5048559580969,12.1274527780594,1.87017001545595,9.74775083949074,1.44113610755324,1.69547483720235,0.306716763030127,1.27644157652801,1.11089365304489,1.76776688442473,0.696485026081419,0.598013725333363,0.46663086746868,0.438817685647006,-1.61794597545618,0.337258754948344,-0.516947817985019,-0.679521412664268,1.42168674698795,0.618374876357686,-15.3331309433357,23.0526234412708
"48","CRE-MXT-NCD","CRE-MXT-NCD-7",6.5048559580969,12.1274527780594,1.62751159196291,9.54533393126226,1.46545671725681,1.36965502617459,0.203267068057042,1.04845243886894,0.977003318622296,1.76088809815486,0.562183453911088,0.579519729459838,0.415965431210972,0.535352064177724,-1.61794597545618,0.390215673839512,-0.527835509756615,-0.768599407658461,0.843373493975904,0.618374876357686,-15.3324013893303,23.0518660570873
"49","BRF-ONE-COM","BRF-ONE-COM-6",6.38007420340463,11.8781392549521,1.72179289026275,9.94468356570334,0.688774925142026,1.52764450969255,0.188101407149158,1.53999817850993,0.75812787589768,2.12480479747824,0.507128652405886,0.5796499944589,0.0306384329942642,0.677331667643872,-1.63186636883301,0.114611314414461,-0.330022259655595,-0.768599407658461,1.48795180722892,0.688426084465051,-15.4902884445877,23.2042629871811
"50","CCR-ONE-NCD","CCR-ONE-NCD-4",6.421977302488,11.9037411907642,2.1097372488408,9.70530853327792,1.49245669345602,1.4853718745039,0.805466873939934,1.50797543349847,0.683075866609251,1.64208625477266,1.21603840667843,0.667241154703239,0.746342453262341,0,-1.53753312179902,0.566897672717566,-0.735251265148177,-0.196847434621318,1.4578313253012,1.26631956334879,-15.4244068674963,23.244396673084
"51","CGF-MON-PRO","CGF-MON-PRO-2",6.0937909209952,11.7477564296688,2.15146831530139,10.1581008978228,1.1032922656704,1.78787227554481,0.876505427977524,1.87853356293456,0.801474979386928,2.37398298739275,0.854645010350665,0.834980936678094,0.541480075338623,0.910816876843505,-1.0092565720302,-0.000689345596492311,-0.259473426577927,-0.904150909650429,1.12650602409639,0.884694439706475,-15.8450992438229,23.1716251666079
"52","CGF-MON-PRO","CGF-MON-PRO-8",6.0937909209952,11.7477564296688,2.10510046367852,10.0197838585015,1.06030025295369,1.82120793782537,0.875083357744227,1.81882313341578,0.921473749856205,2.24117223403256,0.834283437065711,0.735200834635073,0.433430209864763,0.789496971575922,-1.19857748343247,0.0543604891593539,-0.409055463190986,-0.619509377339632,1.41566265060241,0.884694439706475,-15.8449601752363,23.1715513460415
"53","CRE-MXG-NCD","CRE-MXG-NCD-4",6.5048559580969,12.1274527780594,1.63987635239567,9.50037341631774,1.54546522396659,1.4853718745039,0.398254209651587,1.10269222451846,0.98012112281972,1.82646058453579,0.719629201165959,0.351226639006953,0.495318802470462,0.427497105622156,-1.59596086333105,0.549262742943022,-1.04430188828747,-0.878654922151947,0.698795180722892,0.532639126697576,-15.3327131000056,23.051853684255
"54","CRE-MXT-NCD","CRE-MXT-NCD-2",6.5048559580969,12.1274527780594,1.78361669242658,9.68119997172295,1.39371042390848,1.63516357263203,0.239883487732729,1.25453826082376,1.02541848331969,1.71076784378093,0.595262070513142,0.530862863176285,0.424225852501254,0.346879638314341,-1.66679886240746,0.30834211289416,-0.508714598985724,-0.921711349045774,1.32530120481928,0.618374876357686,-15.3331052411717,23.052618478942
"55","CRE-MXT-NCD","CRE-MXT-NCD-8",6.5048559580969,12.1274527780594,1.6661514683153,9.55792416834419,1.4564701790239,1.40201896434478,0.184206900620913,1.15668097882514,0.990054436972758,1.82680101821169,0.559067074172844,0.616430007996057,0.379222372525856,0.384164182844567,-1.66157900761823,0.379567839567279,-0.506781751551434,-0.843765567146019,1.13253012048193,0.618374876357686,-15.3323782633185,23.0518371653058
"56","LCO-MXT-COM","LCO-MXT-COM-1",6.8711807071148,12.1274527780594,1.32921174652241,10.0236151949393,1.07354395200672,1.42283739278031,0.0460805642926834,1.01495698042718,0.154606026824338,2.27276136857831,0.369371811682024,0.874092163698529,0.245276496685133,0.723329959374409,-1.0258641402275,0.0576450254865492,-0.683109922738476,-0.867633623879609,1.26506024096386,0.884694439706475,-15.2190807380264,22.9825770413661
