sample.name.match,Site,mono.mixed,cultivar,plotarea.m2,max.height.m,basal.area.m2,stand.age.yrs,ph,perc.C,watercontent,doc,p.resin,TIN,SOM,W.V,mbc,Cu,K,Mg,Mn,P,Zn,Ca,perc.N,S,perc.clay,perc.sand,MAP.mm,MAT.C,lat,lon,samp.lat,samp.lon
R105,UCP-MXG,mixed-grass,Alamo,1638.00,2.64,0.69,26,4.73,1.26,0.14,3.90,9.88,1.90,0.86,1.14,5.43,1.23,42.11,30.70,10.44,460.53,2.81,171.05,0.07,28.95,3.84,72.86,1166.37,15.8,35.89575,-77.67927,35.89586,-77.67942
R74,MHC-ONE,mono,unknown,88.94,2.40,0.08,10,6.38,2.62,0.30,2.45,2.16,0.65,0.46,0.94,16.20,2.77,278.72,205.32,32.98,81.91,2.23,892.55,0.20,22.34,22.89,52.51,1207.84,12.9,35.41695,-82.55740,35.41706,-82.55732
R27,CGF-MXG,mixed-grass,unknown,3560.00,2.10,0.05,12,5.33,1.79,0.29,3.88,24.54,1.04,0.46,0.81,13.23,3.83,159.26,180.25,66.05,108.64,5.56,817.28,0.09,29.63,21.48,33.40,1116.87,15.0,35.54975,-80.65250,35.54952,-80.65168
R24,CGF-MON,mono,Alamo,2880.00,2.35,0.09,9,6.81,2.56,0.26,5.17,4.49,2.09,0.56,0.89,12.85,5.96,98.88,335.96,55.51,46.07,6.74,1452.81,0.19,23.60,16.68,54.13,1116.87,15.0,35.55360,-80.65369,35.55348,-80.65315
R42,CRE-MXT,mixed-tree,mixed,504.00,2.20,0.03,4,5.77,0.63,0.12,1.22,4.29,1.26,0.22,1.14,1.62,0.70,61.40,54.39,88.07,157.02,2.02,252.63,0.03,10.53,11.92,71.87,1192.21,16.5,35.37047,-78.04537,35.37099,-78.04774
R21,CGF-MON,mono,Alamo,2880.00,2.12,0.10,9,7.00,3.86,0.35,6.59,10.19,2.13,0.32,0.79,8.03,5.70,98.73,444.30,29.62,44.30,8.10,1788.61,0.28,32.91,37.00,42.96,1116.87,15.0,35.55360,-80.65369,35.55358,-80.65350
S246,CGF-MXG,mixed-grass,unknown,3560.00,2.18,0.42,12,5.52,1.86,0.30,5.13,11.57,1.35,0.41,0.85,15.80,3.53,162.35,160.00,79.88,83.53,4.82,809.41,0.13,27.06,21.56,39.21,1116.87,15.0,35.54975,-80.65250,35.55012,-80.65335
R28,CGF-MXG,mixed-grass,unknown,3560.00,2.06,0.10,12,5.65,1.75,0.29,3.26,18.34,0.69,0.46,0.80,13.23,4.88,131.25,203.75,78.13,120.00,6.50,1228.75,0.12,30.00,24.69,24.05,1116.87,15.0,35.54975,-80.65250,35.54963,-80.65202
R11,CCR-ONE,mono,Performer,4757.35,2.39,0.14,26,7.01,1.01,0.14,0.83,10.37,2.58,0.22,1.23,13.72,3.09,45.53,143.09,12.93,141.46,25.93,545.53,0.04,9.76,9.13,80.69,1177.02,15.6,35.66531,-78.51256,35.66552,-78.51244
R73,MHC-ONE,mono,unknown,88.94,2.46,0.18,10,6.67,2.15,0.31,1.88,18.07,0.89,0.41,0.95,18.80,2.21,272.63,205.26,33.89,65.26,2.11,867.37,0.16,18.95,24.03,48.14,1207.84,12.9,35.41695,-82.55740,35.41707,-82.55735
